First_order_best_category,First_order_best_sub_catgeory,FirstOrderCity,FirstOrderCityTier,First_order_OrderPlatform,First_order_campaign_medium,First_order_campaign_source,First_order_campaign_term,First_order_referrer_type,OrderTiming,DiscountUsageSegment,WeekdayWeekendPreference,repeated_users_segment,total_users_segment
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,120,259
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,80,258
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,135,223
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,34,219
Apparel Men,Denim,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,105,208
Apparel Women Western Wear,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,110,207
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,100,188
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,45,186
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,98,176
Watches,Analog Watches,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,14,173
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,111,168
Food & Confectionery,Mithas,Ssl-Blr Int Airport,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,25,168
Apparel Women Indian Wear,Indianwear,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,92,160
Watches,Analog Watches,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,13,155
Apparel Men,Denim,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,42,153
Watches,Analog Watches,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,10,152
Apparel Women Western Wear,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,68,150
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,66,147
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,50,146
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekend Shopper,2,146
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,73,144
Item Category Unavailable,Item SubCategory Unavailable,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,102,138
Watches,Analog,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,27,137
Item Category Unavailable,Item SubCategory Unavailable,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,31,137
Casual Wear,Shirts,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,71,135
Apparel Men,Sport,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,70,131
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekend Shopper,36,129
Clothing,Shirts,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,40,129
